run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
6,6605,111,111,PAYMENT,0,0,0
6,6619,1625,1625,NEW_ORDER,0,0,0
6,6619,1475,1475,NEW_ORDER,0,0,0
6,6636,226,226,PAYMENT,0,0,0
6,6638,122,122,PAYMENT,0,0,0
6,6652,115,115,PAYMENT,0,0,0
6,6674,1766,1766,NEW_ORDER,0,0,0
6,6676,1965,1965,NEW_ORDER,0,0,0
6,6679,1366,1366,PAYMENT,0,0,0
6,6710,1821,1821,NEW_ORDER,0,0,0
6,6721,1060,1060,PAYMENT,0,0,0
6,6724,1329,1329,PAYMENT,0,0,0
6,6734,169,169,PAYMENT,0,0,0
6,6760,435,435,NEW_ORDER,0,0,0
6,6770,131,131,PAYMENT,0,0,0
6,6789,312,312,NEW_ORDER,0,0,0
6,6793,474,474,NEW_ORDER,0,0,0
6,6802,1964,1964,NEW_ORDER,0,0,0
6,6817,1672,1672,NEW_ORDER,0,0,0
6,6851,177,177,PAYMENT,0,0,0
6,6861,100,100,PAYMENT,0,0,0
6,6872,383,383,PAYMENT,0,0,0
6,6880,779,779,NEW_ORDER,0,0,0
6,6880,1278,1278,NEW_ORDER,0,0,0
6,6907,46,46,PAYMENT,0,0,0
6,6975,1803,1803,NEW_ORDER,0,0,0
6,7029,212,212,PAYMENT,0,0,0
6,7046,410,410,NEW_ORDER,0,0,0
6,7063,329,329,PAYMENT,0,0,0
6,7082,808,808,STOCK_LEVEL,0,0,0
6,7083,1586,1586,PAYMENT,0,0,0
6,7111,432,432,PAYMENT,0,0,0
6,7114,1907,1907,PAYMENT,0,0,0
6,7120,2203,2203,NEW_ORDER,0,0,0
6,7121,588,588,NEW_ORDER,0,0,0
6,7122,503,503,NEW_ORDER,0,0,0
6,7122,2022,2022,NEW_ORDER,0,0,0
6,7126,1645,1645,NEW_ORDER,0,0,0
6,7126,632,632,PAYMENT,0,0,0
6,7133,528,528,PAYMENT,0,0,0
6,7145,1503,1503,PAYMENT,0,0,0
6,7146,604,604,NEW_ORDER,0,0,0
6,7150,278,278,PAYMENT,0,0,0
6,7161,744,744,NEW_ORDER,0,0,0
6,7161,440,440,PAYMENT,0,0,0
6,7166,1905,1905,PAYMENT,0,0,0
